state,country,gender,ethnicity,studentIDs,originSource,studentType,major,financialAidOfferedAmount,athlete,sport,raleyCollegeTagExists,recruitingTerritory,counselor,counselorIncomingTextCount,counselorOutgoingTextCount,phoneSuccessfulCount,phoneUnsuccessfulCount,phoneVoicemailCount,admittedStudentsDay,bisonDay,bisonDayAtTheWeekend,campusVisit,dallasBisonExclusive,footballVisit,golfVisit,oklahomaCityBisonExclusive,scholarsBisonDay,scholarsMixerAndBanquet,scholarshipInterview,scholarshipInterviewRegistration,softballVisit,trackVisit,tulsaBisonExclusive,volleyballVisit,eventsAttendedCount
Morazan,UZB,M,Eth-3,01482836,StriveScan - Scans,Readmit,International Business,2816,N,Basketball (Women's),Y,T06,C2,9,9,4,4,7,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,3
BC,ARG,M,Eth-6,01487489,Capture Higher Ed,Second Degree,Interdisciplinary,2779,N,Track & Field (Women's),N,P02,C13,6,3,4,15,11,N,N,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,9
Purwanchal,BRA,M,Eth-7,01532258,Southern Baptist Convention,Transfer,"Christian Ministry, Women's Ministry Emphasis",2055,Y,Not Declared,Y,T03,C8,12,6,13,5,18,N,N,Y,N,N,Y,Y,Y,N,N,Y,Y,N,Y,Y,N,4
Tashkent Province,URY,M,Eth-4,01549652,Niche Prospects,Transfer (24+ Hours),"Biblical and Theological Studies, Biblical Studies Emphasis",3106,N,Golf,Y,T05,C13,13,10,6,8,14,N,N,N,Y,Y,Y,N,N,N,Y,Y,N,N,Y,N,Y,20
Ogun,UGA,M,Eth-1,01329647,Phone Call - Voicemail,Readmit,Chemistry,2992,N,Volleyball,Y,Graduate,C9,0,3,8,5,15,Y,Y,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,Y,5
Parana,SEN,M,Eth-3,01510817,Niche Prospects,Transfer,Creative Writing,3418,Y,Basketball (Women's),Y,Raley College,C13,9,15,18,11,2,Y,Y,N,N,Y,Y,N,N,Y,Y,Y,N,Y,N,N,N,3
Maharashtra,HKG,M,Eth-8,01455580,Clark Higher Ed Leads,Transfer (24+ Hours),"Global Marketplace Engagement, Spanish Emphasis",4393,N,Not Declared,N,Homeschool,C6,12,2,9,19,12,Y,N,Y,Y,N,N,Y,N,N,Y,Y,Y,Y,Y,N,Y,2
CO,ZWE,M,Eth-8,01561222,Clark Higher Ed Quick App,Second Degree,Biochemistry,2501,Y,Golf,Y,T06,C2,20,10,16,2,18,N,Y,Y,N,N,N,Y,N,Y,Y,N,Y,N,N,Y,Y,8
Eastern Cape,ITA,Not Declared,Eth-6,01520063,RNL Junior Search,Transfer (24+ Hours),Engineering - Electrical Engineering,2355,N,Track & Field (Women's),Y,P02,C13,4,6,12,3,16,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,11
WEST COAST DIVISION,LKA,M,Eth-4,01378112,Capture Higher Ed,Second Degree,"Sports and Recreation, Sports Ministry Emphasis",4766,N,Track & Field (Men's),N,T05,C8,4,2,11,14,12,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,N,Y,Y,19
