state,country,gender,ethnicity,studentIDs,originSource,studentType,major,financialAidOfferedAmount,athlete,sport,raleyCollegeTagExists,recruitingTerritory,counselor,counselorIncomingTextCount,counselorOutgoingTextCount,phoneSuccessfulCount,phoneUnsuccessfulCount,phoneVoicemailCount,admittedStudentsDay,bisonDay,bisonDayAtTheWeekend,campusVisit,dallasBisonExclusive,footballVisit,golfVisit,oklahomaCityBisonExclusive,scholarsBisonDay,scholarsMixerAndBanquet,scholarshipInterview,scholarshipInterviewRegistration,softballVisit,trackVisit,tulsaBisonExclusive,volleyballVisit,eventsAttendedCount
Khyber Pakhtunkhwa,MEX,Not Declared,Eth-2,01565063,GenWhy,Readmit,"Exercise Science, Human Performance Emphasis",3948,Y,Basketball (Women's),N,T06,C6,11,10,3,20,8,N,Y,Y,N,N,Y,N,N,Y,Y,N,Y,N,Y,Y,N,11
ON,BDI,M,Eth-6,01384225,CollegExpress,Readmit,Applied Mathematics: Actuarial and Financial Math Emphasis,4855,Y,Softball,N,T07,C12,13,19,18,12,14,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,5
BONO EAST,ZMB,M,Eth-2,01432284,Southern Baptist Convention,Second Degree,Not Declared,3625,N,STUNT,Y,T06,C2,0,13,9,15,11,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,19
Oshana,PHL,Not Declared,Eth-3,01352761,Niche Prospects,First-Time Freshman,Criminal Justice,3895,Y,STUNT,Y,T03,C8,11,0,17,19,20,Y,N,Y,N,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,N,5
MD,BDI,M,Eth-3,01496211,Bison Day Attended,Test Optional,"Exercise Science, Human Performance Emphasis",4522,N,Soccer,N,Graduate,C7,18,3,4,19,19,Y,Y,N,Y,N,Y,N,N,Y,Y,N,Y,Y,N,N,N,14
Ulaanbaatar,SWZ,Not Declared,Eth-4,01523158,CLT Prospect,First-Time Freshman,"Biblical and Theological Studies, Practical Theology Emphasis",3369,N,Soccer,N,T00,C8,18,9,14,18,6,N,N,Y,Y,N,Y,N,N,Y,N,Y,Y,N,N,N,Y,17
Kisii,KEN,M,Eth-6,01589796,RNL Sophomore Search,First-Time Freshman,Not Declared,2190,N,Dance,Y,Graduate,C6,0,15,18,5,20,Y,Y,Y,N,N,Y,Y,Y,N,N,Y,N,Y,N,N,N,5
Hhohho,IRN,M,Eth-5,01431912,Phone Call - Successful,First-Time Freshman,Master of Arts in Christian Studies: Biblical and Theological Studies (In-Person),2315,N,Basketball (Men's),Y,P02,C14,14,5,9,12,15,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,19
Gilgit-Baltistan,CHE,M,Eth-6,01460398,Encoura Affinity Connection,Test Optional,MBA in Transformational Leadership,4049,Y,Track & Field (Women's),N,Graduate,C3,11,2,14,11,18,Y,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,18
Nimba,BFA,M,Eth-5,01357371,StriveScan - Connections,Transfer,Interdisciplinary,3552,N,Softball,Y,T00,C4,16,3,1,17,16,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,Y,Y,15
Maharashtra,ZAF,M,Eth-7,01561124,Private Colleges & Universities,Readmit,Engineering - Mechanical Engineering,4807,N,Basketball (Women's),N,T05,C11,7,18,12,20,2,Y,Y,N,Y,N,Y,Y,N,N,N,N,Y,Y,Y,Y,N,7
AB,CAN,M,Eth-3,01303946,StriveScan - Connections,Transfer,Corporate Innovation,4194,Y,Soccer,N,Homeschool,C8,7,4,4,11,11,N,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,Y,11
Dhaka Division,CAN,M,Eth-9,01583168,Text Message,Second Degree,Forensic Psychology,2400,Y,Golf,N,T06,C10,2,7,19,8,11,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,6
Volta,JAM,M,Eth-6,01523491,Inquiry Card,First-Time Freshman,Computer Science,4054,Y,Golf,Y,P02,C2,8,14,10,19,20,Y,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,N,N,N,N,16
TX,PHL,M,Eth-2,01410471,SAT Score,Test Optional,"Sports and Recreation, Camp Administration Emphasis",4934,N,Not Declared,Y,Raley College,C9,10,10,17,19,3,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,N,Y,N,Y,N,2
MS,KEN,M,Eth-3,01465233,Jump Forward Athletic Website,Test Optional,"Global Marketplace Engagement, Math Education Emphasis",3052,N,Volleyball,Y,Raley College,C3,0,10,11,15,5,Y,N,Y,Y,N,N,N,Y,N,Y,Y,N,Y,Y,N,Y,10
Nairobi County,PER,Not Declared,Eth-5,01317032,Text Message - Outgoing,First-Time Freshman,"Global Marketplace Engagement, Graphic Design Emphasis",3687,N,Volleyball,Y,T02,C10,0,13,15,11,12,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,N,17
SANCTI SPIRITUS,PER,Not Declared,Eth-4,01555012,Christian Connector Web Response,Readmit,"Global Marketplace Engagement, TESOL Emphasis",2400,N,Golf,N,T06,C10,18,19,11,11,10,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,1
Tashkent,GBR,Not Declared,Eth-1,01584587,Clark Higher Ed Paid Social,Readmit,Undecided,3794,N,Soccer,Y,T03,C4,10,3,17,11,8,N,Y,Y,Y,N,Y,N,N,Y,N,N,Y,Y,N,Y,Y,15
Nandi,DEU,Not Declared,Eth-7,01369580,Encoura,Test Optional,"Science Education, Secondary",2315,Y,Soccer,Y,Homeschool,C3,14,14,6,0,11,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,N,N,Y,N,Y,12
Dushanbe,TJK,Not Declared,Eth-3,01426399,Clark Higher Ed Search,First-Time Freshman,"Global Marketplace Engagement, Global Education Emphasis",2260,N,Dance,N,T06,C14,12,5,3,19,7,N,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,1
Limpopo,SSD,Not Declared,Eth-9,01590503,Christian Connector,Transfer (24+ Hours),Psychology,3289,Y,Soccer,N,T00,C12,16,5,8,20,1,Y,N,N,Y,Y,Y,Y,N,Y,N,N,Y,N,N,Y,Y,17
Dar es Salaam,NGA,M,Eth-3,01468034,Online Application,Test Optional,Political Science,4255,N,Golf,Y,T06,C6,16,3,12,12,7,Y,Y,N,N,N,N,Y,Y,N,Y,Y,N,N,Y,N,N,6
Kiambu,BWA,M,Eth-9,01528240,Inquiry Card,Transfer (24+ Hours),"Social Sciences Education, Secondary",4264,N,Marching Band,N,T05,C12,3,18,6,11,14,Y,Y,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,N,Y,2
MI,BGD,M,Eth-4,01559106,RNL Junior Search,Second Degree,Mathematics,4049,N,Volleyball,Y,T06,C8,10,7,15,15,12,N,Y,Y,N,N,Y,N,Y,N,Y,N,N,N,Y,N,N,18
CO,UZB,Not Declared,Eth-3,01320844,College Raptor,Test Optional,"Christian Ministry, Pastoral Ministry Emphasis",2946,Y,Softball,Y,P02,C4,11,13,2,2,12,N,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,4
Oyo State,ROU,M,Eth-5,01592458,Southern Baptist Convention,Test Optional,Creative Writing,3755,Y,Basketball (Men's),N,T05,C10,15,15,10,15,20,N,Y,N,N,N,N,N,Y,Y,N,Y,Y,Y,N,Y,N,5
Banjul,CAN,Not Declared,Not Declared,01592167,Encoura,Second Degree,"Philosophy, Apologetics Emphasis",4907,Y,Track & Field (Men's),Y,Homeschool,C9,18,6,4,14,7,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,8
