state,country,gender,ethnicity,studentIDs,originSource,studentType,major,financialAidOfferedAmount,athlete,sport,raleyCollegeTagExists,recruitingTerritory,counselor,counselorIncomingTextCount,counselorOutgoingTextCount,phoneSuccessfulCount,phoneUnsuccessfulCount,phoneVoicemailCount,admittedStudentsDay,bisonDay,bisonDayAtTheWeekend,campusVisit,dallasBisonExclusive,footballVisit,golfVisit,oklahomaCityBisonExclusive,scholarsBisonDay,scholarsMixerAndBanquet,scholarshipInterview,scholarshipInterviewRegistration,softballVisit,trackVisit,tulsaBisonExclusive,volleyballVisit,eventsAttendedCount
KwaZulu-Natal,BRA,M,Eth-3,01561775,CLT Application,Transfer,Interdisciplinary Studies,3188,Y,Basketball (Men's),N,T00,C10,1,18,8,13,8,N,N,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,8
Balochistan,NAM,M,Eth-7,01316052,Inquiry Form,Readmit,"Global Marketplace Engagement, Math Education Emphasis",4784,Y,Golf,Y,T05,C8,10,19,9,20,14,N,Y,Y,N,Y,Y,N,N,Y,N,Y,Y,N,N,Y,Y,13
ENUGU STATE,MWI,M,Eth-6,01551256,STEM Camp,Test Optional,Middle School Education,4255,Y,Volleyball,Y,T04,C3,15,14,4,19,1,Y,Y,N,N,Y,N,Y,Y,Y,N,Y,Y,N,N,N,Y,14
IN,MAR,M,Eth-7,01581243,RNL Junior Search,Readmit,"Biblical and Theological Studies, Practical Theology Emphasis",3355,N,Volleyball,Y,T05,C5,8,12,9,2,3,Y,Y,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,N,18
AB,VEN,M,Eth-2,01526616,Phone Call - Voicemail,Readmit,"Special Education, Elementary Track",3783,N,Softball,Y,P02,C7,12,5,13,14,7,Y,N,N,N,Y,N,N,Y,N,N,Y,N,Y,N,Y,N,10
Kigali,SSD,M,Eth-4,01522886,Christian Connector,Transfer,"Sports and Recreation, Athletic Coaching Emphasis",3413,Y,STUNT,Y,P02,C8,7,15,17,18,20,Y,Y,N,N,N,Y,N,Y,Y,Y,N,N,N,N,Y,Y,9
NE,MMR,M,Eth-5,01574297,Oklahoma Promise,Second Degree,Music Composition,2720,Y,Soccer,N,T06,C13,11,11,17,18,20,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,Y,Y,9
Cross River,TGO,M,Eth-4,01387050,Night on the Hill Reservation,Second Degree,Biology,3625,Y,Soccer,N,Raley College,C6,5,2,8,8,6,Y,Y,N,Y,N,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,4
Madhya Pashchimanchal,TJK,Not Declared,Eth-2,01322053,STEM Camp,Transfer,"Piano Performance, Pedagogy Emphasis",2069,Y,Soccer,N,T00,C9,16,15,4,12,11,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,10
NC,BEN,M,Eth-9,01401974,Text Message - Outgoing,Second Degree,Middle School Education,4433,N,Marching Band,N,T06,C4,12,14,6,15,7,N,N,N,N,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,N,18
Abia,FRA,Not Declared,Eth-6,01445190,Bison Day Registration,Transfer,Engineering - Electrical Engineering,4978,N,Dance,N,Raley College,C4,2,11,19,11,7,Y,Y,N,Y,N,Y,N,Y,N,N,Y,Y,N,N,Y,N,19
Bagmati,ZAF,M,Not Declared,01333365,RNL Sophomore Search,Readmit,Applied Mathematics: Actuarial and Financial Math Emphasis,3783,N,Dance,N,T04,C12,2,11,2,11,6,Y,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,Y,Y,6
Plateau,HKG,M,Eth-2,01324503,Jump Forward Athletic Website,Second Degree,"Journalism and Mass Communication, Journalism Emphasis",3369,N,Softball,Y,T04,C7,13,3,18,10,20,Y,N,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,Y,N,3
Tashkent Province,RWA,M,Eth-1,01481489,Text Message,Transfer,Forensic Psychology,4907,N,Dance,Y,T03,C13,18,15,14,18,2,N,Y,N,N,N,Y,Y,N,N,Y,Y,N,Y,N,Y,N,16
AB,PHL,Not Declared,Eth-5,01366177,ACT Tape Load,Readmit,"Computer Science, Interdisciplinary Emphasis",2315,N,Basketball (Women's),Y,T06,C2,7,8,11,20,11,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,N,N,13
North Kivu,CZE,M,Not Declared,01341785,Clark Higher Ed Prospect,Readmit,"Biblical and Theological Studies, Biblical Studies Emphasis",3355,Y,Football,N,T00,C6,14,4,6,11,8,Y,Y,N,Y,N,N,Y,N,N,Y,Y,N,Y,N,N,N,13
Northern Ireland,BEN,M,Not Declared,01317805,Christian Connector Web Response,Second Degree,"Philosophy, Apologetics Emphasis",3749,Y,Basketball (Men's),N,T03,C11,18,13,15,10,15,Y,N,N,N,Y,N,Y,Y,N,N,Y,N,Y,N,N,Y,2
DAKAR,OMN,M,Eth-1,01465104,Niche Prospects,Transfer (24+ Hours),International Business,3308,N,Football,Y,T03,C8,3,2,16,12,7,Y,Y,N,Y,N,N,Y,N,Y,N,Y,Y,Y,N,Y,N,1
Dushanbe,CMR,Not Declared,Eth-2,01300746,Text Message - Outgoing,Transfer (24+ Hours),Engineering - Mechanical Engineering,3553,Y,Volleyball,N,P01,C14,10,10,9,20,15,N,Y,N,Y,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,6
North Kivu,CAN,Not Declared,Eth-1,01321816,High School Visit,First-Time Freshman,Music Composition,4905,N,Not Declared,Y,T02,C11,1,12,15,20,1,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,N,Y,13
Enga,PAK,Not Declared,Eth-1,01400277,College Fair Contact,Readmit,Chemistry,2826,N,Soccer,N,T04,C10,8,3,11,7,6,N,N,Y,Y,N,N,N,N,N,Y,Y,N,Y,Y,N,N,10
Samarqand,COD,M,Eth-8,01320200,College Raptor,Readmit,"Christian Ministry, Women's Ministry Emphasis",3762,N,Not Declared,Y,T07,C14,3,2,8,1,1,N,Y,Y,Y,N,N,N,Y,N,N,N,Y,Y,Y,Y,Y,7
Colon,SSD,Not Declared,Not Declared,01517238,Paper Application,Transfer (24+ Hours),Engineering - Electrical Engineering,2734,N,Golf,Y,Homeschool,C3,18,1,3,12,7,Y,N,N,N,N,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,2
TN,DEU,Not Declared,Eth-8,01437703,NRCCUA Declared Names,First-Time Freshman,Psychology,3823,Y,Basketball (Men's),N,Homeschool,C10,10,18,12,14,3,Y,N,Y,N,N,Y,Y,Y,N,Y,N,N,N,N,N,Y,13
New Providence,MMR,M,Eth-5,01490135,College Fair Contact,Second Degree,Worship Studies,3783,Y,Basketball (Women's),Y,T06,C9,0,2,3,12,8,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,Y,N,5
Nimba,ETH,Not Declared,Eth-2,01344729,Clark Higher Ed Search,Second Degree,"Philosophy, Apologetics Emphasis",2029,Y,Track & Field (Women's),Y,T05,C12,11,14,3,8,7,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,Y,12
Mpumalanga,CZE,Not Declared,Eth-9,01581241,Clark Higher Ed Prospect,Readmit,"English Education, Secondary",3101,Y,Track & Field (Men's),Y,T05,C11,8,5,9,11,11,Y,Y,N,N,N,Y,N,N,N,Y,Y,N,Y,N,N,Y,13
Sindh,SWZ,Not Declared,Eth-4,01576915,CollegExpress,Readmit,"Special Education, Early Childhood Track",3369,N,Basketball (Men's),N,Raley College,C5,7,6,9,19,11,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,1
Garissa,PER,M,Not Declared,01375708,New Mexico Annual Convention,Readmit,Biochemistry,4194,N,Track & Field (Men's),N,Graduate,C3,11,8,15,5,19,Y,Y,N,N,N,Y,Y,N,Y,N,Y,N,N,N,Y,Y,18
NV,ZWE,Not Declared,Eth-9,01593131,StriveScan - Connections,First-Time Freshman,"Art Education, P-12",3418,N,Track & Field (Men's),N,T01,C9,10,2,17,15,10,N,Y,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,6
Purwanchal,Not Declared,M,Eth-5,01509748,College Fair Contact,Test Optional,Christian Ministry,2055,Y,Football,Y,Homeschool,C13,16,18,4,12,3,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,Y,10
Parana,BWA,Not Declared,Eth-4,01565230,Falls Creek,Test Optional,"Sports and Recreation, Camp Administration Emphasis",2794,Y,Basketball (Men's),N,T04,C7,8,10,0,7,6,N,Y,Y,N,Y,N,Y,N,N,Y,N,Y,N,N,N,N,17
NH,SAU,M,Eth-5,01589760,Text Message - Outgoing,Test Optional,"Journalism and Mass Communication, Journalism Emphasis",4049,Y,STUNT,N,T04,C4,0,12,4,13,12,N,N,Y,Y,N,Y,N,Y,Y,Y,N,Y,N,N,N,Y,2
Dar es Salaam,ESP,Not Declared,Not Declared,01371946,Christian Connector Web Response,Test Optional,"Sports and Recreation, Sports Ministry Emphasis",2142,N,Basketball (Women's),Y,P01,C8,17,18,9,19,4,N,Y,Y,Y,N,Y,Y,N,Y,N,N,Y,Y,Y,N,N,12
Barisal,MMR,M,Eth-6,01536370,StriveScan - Scans,Readmit,"Philosophy, Apologetics Emphasis",4174,N,Football,N,T02,C7,17,9,4,20,20,N,N,Y,Y,N,N,N,N,N,N,Y,Y,N,Y,Y,N,10
Lagos,USA,M,Eth-1,01453213,Southern Baptist Convention,Transfer,Alternative Teaching Certificate,3418,Y,Soccer,Y,T07,C10,10,4,9,4,14,N,Y,N,Y,N,N,N,Y,Y,N,Y,Y,N,N,Y,N,13
Littoral,UGA,M,Eth-8,01567427,CLT Prospect,Transfer,Criminal Justice,3530,Y,Basketball (Men's),Y,P01,C3,2,5,0,1,20,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,Y,Y,N,20
Namangan,VEN,M,Not Declared,01575858,Empower Conference,Second Degree,Computer Science,4978,N,Soccer,N,Graduate,C4,8,7,19,15,8,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,N,Y,Y,13
AL,CHL,M,Eth-3,01306009,NRCCUA Declared Names,Test Optional,"Mathematics Education, Secondary",4776,Y,Dance,Y,P02,C10,14,3,2,11,12,Y,N,Y,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,Y,15
CT,MAR,M,Eth-3,01313825,Next Step Magazine,Readmit,Music Composition,2720,N,Soccer,Y,T00,C3,4,17,3,20,0,Y,N,N,N,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,10
Delhi,VNM,Not Declared,Eth-5,01562913,RNL Junior Search,Transfer,"Sports and Recreation, Sports and Recreation Management Emphasis",4729,Y,STUNT,Y,T04,C8,12,15,13,15,15,N,N,N,Y,Y,Y,N,N,Y,N,N,N,N,Y,Y,Y,8
Plateau,GMB,M,Eth-6,01362814,NRCCUA Declared Names,First-Time Freshman,Creative Media,3169,N,Dance,Y,Homeschool,C13,13,2,15,17,11,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,13
Northwest,CYP,Not Declared,Eth-3,01407662,CollegExpress,Transfer,Political Science,3625,Y,Soccer,N,Graduate,C2,13,3,2,19,12,Y,Y,N,Y,N,N,N,N,Y,Y,Y,N,Y,N,Y,Y,14
Almaty,ZWE,M,Eth-6,01387041,NRCCUA Declared Names,Transfer,Family Therapy,3860,Y,Softball,N,T03,C14,2,19,12,4,15,Y,Y,N,N,N,N,Y,N,Y,Y,N,Y,N,N,Y,N,15
Centre,COD,Not Declared,Eth-8,01320431,StriveScan - Scans,Test Optional,"Computer Science, Interdisciplinary Emphasis",4907,N,Football,N,Homeschool,C7,3,4,20,12,14,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,15
Bujumbura,BHS,Not Declared,Eth-5,01535511,Super Summer,Test Optional,English,3930,N,STUNT,Y,P01,C14,6,3,8,20,15,N,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,16
Oshana,PHL,M,Eth-9,01510504,CollegExpress,Transfer (24+ Hours),"Piano Performance, Pedagogy Emphasis",3106,Y,Volleyball,Y,T07,C12,5,8,15,9,2,N,Y,Y,N,Y,N,N,Y,Y,Y,N,Y,Y,N,Y,Y,2
Ondo,ZAF,Not Declared,Eth-2,01335488,Phone Call - Successful,Second Degree,Not Declared,2315,Y,Basketball (Women's),Y,Homeschool,C7,7,2,4,8,19,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,Y,Y,N,2
Morazan,MWI,Not Declared,Eth-1,01594520,StriveScan - Connections,First-Time Freshman,Fine Arts,4905,Y,Basketball (Women's),N,T05,C9,5,16,12,18,7,Y,N,N,N,N,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,6
Gaza,CUB,Not Declared,Eth-2,01586887,Next Step Magazine,Test Optional,Political Science,2669,Y,Track & Field (Men's),N,T03,C10,18,10,12,1,3,N,Y,N,N,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,9
BC,ROU,M,Eth-5,01543135,GenWhy,Test Optional,Mathematics,3862,Y,Soccer,N,T02,C10,12,6,9,5,14,N,N,N,N,Y,Y,Y,N,N,Y,Y,N,Y,N,N,N,19
Almaty,TJK,Not Declared,Eth-1,01495936,College Raptor,Second Degree,Creative Writing,4444,N,Not Declared,Y,P01,C2,12,19,15,11,6,N,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N,N,N,N,3
DE,KEN,Not Declared,Eth-8,01566634,FAFSA,Second Degree,"Psychology, Pre-Counseling",3948,N,Marching Band,N,T01,C11,18,1,20,20,5,Y,Y,Y,N,Y,N,N,Y,N,N,Y,Y,Y,N,Y,N,13
IA,IRN,M,Eth-8,01554252,Bison Day Attended,Second Degree,Creative Writing,4054,N,Softball,N,T00,C13,4,0,20,16,5,N,Y,N,Y,N,Y,N,N,N,Y,Y,N,N,Y,N,N,19
OH,USA,M,Eth-4,01522380,Jump Forward Athletic Website,Second Degree,Engineering - Systems Engineering,3369,N,Dance,N,T02,C3,0,2,19,19,0,N,Y,N,N,N,Y,N,Y,Y,Y,N,N,N,N,Y,N,13
Madhesh Pradesh,MEX,M,Eth-8,01467892,Inquiry Card,Transfer,"Music Education, Instrumental Certificate P-12",2556,N,Basketball (Women's),Y,Raley College,C4,5,9,15,3,6,Y,Y,Y,N,Y,N,Y,N,N,N,Y,Y,N,Y,Y,N,6
SANCTI SPIRITUS,NZL,Not Declared,Eth-1,01309639,Encoura Affinity Connection,Test Optional,"Biblical and Theological Studies, Practical Theology Emphasis",3547,N,STUNT,N,Raley College,C6,4,11,2,13,0,N,N,N,N,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,10
Volta,NLD,M,Eth-2,01465237,CLT Prospect,Transfer (24+ Hours),"Global Marketplace Engagement, Spanish Emphasis",4393,Y,STUNT,N,T02,C4,8,6,20,10,18,N,Y,Y,Y,N,Y,N,N,Y,N,Y,N,N,N,Y,Y,2
Oyo State,SWZ,Not Declared,Not Declared,01491132,Super Summer,Readmit,"Global Marketplace Engagement, Math Education Emphasis",4444,Y,Volleyball,Y,P01,C7,7,10,4,5,12,Y,N,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,N,Y,N,17
Muscat,BWA,Not Declared,Eth-5,01352903,Clark Higher Ed Quick App,Test Optional,"Social Sciences Education, Secondary",3948,N,Marching Band,Y,T02,C5,3,18,9,20,7,N,N,N,N,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,2
Maharashtra,KAZ,Not Declared,Not Declared,01354081,Campus Visit Registration,Transfer,Cross-Cultural Ministry,2895,N,Dance,Y,T07,C2,11,12,19,15,7,Y,Y,N,Y,N,N,Y,N,N,N,N,Y,Y,N,N,Y,1
MI,LBR,M,Eth-3,01474097,Phone Call - Successful,Transfer (24+ Hours),"Chemistry, Forensic Emphasis",2779,Y,Basketball (Women's),N,P01,C3,10,3,13,12,20,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,2
Saint James,CHE,Not Declared,Eth-3,01445642,CLT Score,Second Degree,"Global Marketplace Engagement, Political Science Emphasis",4103,Y,Football,Y,Raley College,C4,4,2,9,4,19,N,Y,N,N,N,Y,N,Y,N,N,Y,N,N,Y,N,N,17
Central,TGO,M,Eth-3,01454069,Text Message,Test Optional,"Biblical and Theological Studies, Practical Theology Emphasis",4826,Y,STUNT,Y,T03,C12,2,2,16,19,3,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,Y,6
Colon,ITA,Not Declared,Eth-6,01309644,Clark Higher Ed Paid Social,Transfer,Natural Science,3860,Y,Not Declared,Y,Graduate,C2,8,17,6,11,16,N,Y,Y,Y,N,Y,N,N,Y,N,Y,N,N,Y,N,N,14
Western Highlands,ARG,M,Eth-2,01479557,Clark Higher Ed Paid Social,Readmit,"Sports and Recreation, Athletic Coaching Emphasis",4907,N,Basketball (Women's),N,P02,C14,6,9,19,2,6,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,N,N,N,Y,19
Plateau,SEN,M,Eth-5,01538689,CLT Prospect,First-Time Freshman,"Global Marketplace Engagement, TESOL Emphasis",3155,Y,Soccer,Y,Graduate,C13,2,20,2,19,6,N,N,N,Y,N,N,N,N,Y,Y,N,Y,N,N,N,Y,20
Western Highlands,PSE,M,Eth-3,01469220,Online Application,Readmit,"Sports and Recreation, Athletic Coaching Emphasis",4049,N,Track & Field (Men's),N,Graduate,C4,11,2,20,12,7,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,N,Y,16
Buenos Aires,BWA,Not Declared,Eth-8,01584038,Encoura,Transfer (24+ Hours),Elementary Education,4522,Y,STUNT,N,Homeschool,C8,18,11,15,13,16,N,Y,N,Y,N,N,Y,Y,N,Y,Y,N,N,Y,N,Y,18
Sao Paulo,BFA,M,Eth-8,01544118,Niche Inquiries,Second Degree,Engineering - Mechanical Engineering,4855,N,STUNT,Y,Graduate,C13,14,4,2,4,20,N,Y,Y,Y,N,N,Y,N,Y,N,N,N,Y,N,Y,Y,19
Akwa Ibom,BFA,Not Declared,Eth-1,01572550,Text Message - Outgoing,Readmit,Alternative Teaching Certificate,4958,Y,Football,Y,T04,C5,20,19,20,16,4,N,N,Y,Y,N,Y,N,Y,Y,N,N,N,Y,N,N,Y,12
West Bengal,ROU,M,Eth-5,01362136,Bison Day Attended,Test Optional,Interdisciplinary Studies,4456,N,Basketball (Women's),N,Homeschool,C11,2,12,9,5,15,N,N,N,Y,N,Y,Y,N,Y,N,N,Y,Y,N,Y,N,9
ETHIOPIA,LSO,M,Eth-2,01335749,Church Visit,Readmit,Undecided,3418,Y,Basketball (Women's),Y,T04,C12,4,2,5,19,18,Y,Y,Y,N,N,Y,N,N,N,N,N,N,Y,Y,N,Y,16
Banjul,MMR,Not Declared,Eth-8,01567582,Oklahoma Promise,Transfer (24+ Hours),"Biology, Forensic Emphasis",2029,Y,Basketball (Men's),Y,T03,C8,13,3,8,6,0,Y,Y,N,Y,N,Y,N,Y,Y,N,N,Y,N,Y,N,N,16
Dubai,CAN,Not Declared,Eth-3,01406338,Clark Higher Ed Prospect,Second Degree,Biology,2794,N,Track & Field (Women's),Y,T04,C9,7,10,14,19,7,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,2
Artigas,TJK,M,Eth-3,01535517,Phone Call - Unsuccessful,Transfer,Engineering - Mechanical Engineering,2720,Y,Football,Y,P02,C5,1,7,9,0,20,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,5
MA,CHL,M,Eth-3,01518937,Jump Forward Athletic Website,First-Time Freshman,Alternative Teaching Certificate,3101,Y,Dance,N,P01,C9,16,13,10,17,17,Y,N,Y,Y,N,Y,N,N,Y,Y,N,Y,N,Y,N,N,1
IL,LKA,M,Eth-1,01572166,CLT Score,Test Optional,"Special Education, Early Childhood Track",4444,N,Football,Y,Homeschool,C3,12,0,8,12,18,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,2
Dubai,LKA,Not Declared,Eth-9,01525673,GenWhy,Transfer (24+ Hours),Forensic Psychology,4456,Y,Golf,Y,T06,C8,13,2,20,4,3,Y,N,N,Y,N,Y,Y,N,Y,N,N,Y,N,Y,N,N,2
CO,NLD,Not Declared,Eth-9,01396283,Jump Forward Athletic Website,Transfer (24+ Hours),"Global Marketplace Engagement, Math Education Emphasis",4925,N,Volleyball,Y,T04,C3,10,13,16,9,15,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,1
MA,UZB,M,Eth-7,01507619,College Raptor,Test Optional,Family Therapy,3547,N,Not Declared,Y,T03,C2,11,18,5,4,3,N,Y,N,Y,N,N,Y,Y,Y,Y,N,Y,N,N,N,Y,11
MN,JAM,Not Declared,Not Declared,01443844,Campus Visit Attended,Test Optional,Art,2734,N,Marching Band,N,T03,C14,20,20,20,11,11,N,Y,N,N,N,N,Y,N,Y,N,N,N,Y,Y,N,Y,12
NM,RWA,M,Eth-8,01395078,ACT Tape Load,Transfer (24+ Hours),Criminal Justice,3106,N,Track & Field (Men's),Y,T02,C11,4,17,15,13,9,N,Y,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,Y,19
Akwa Ibom,PNG,M,Eth-5,01374171,Clark Higher Ed Leads,Second Degree,Early Childhood Education,4456,N,STUNT,Y,Graduate,C12,0,10,3,15,16,N,Y,N,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,15
Sindh,SAU,M,Eth-8,01315781,STEM Camp,Test Optional,Biochemistry,3261,Y,Golf,N,T06,C4,4,14,14,14,19,N,Y,Y,N,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,Y,13
Maseru,ARE,M,Eth-2,01570798,GenWhy,First-Time Freshman,Vocal Performance,3289,Y,Volleyball,Y,Homeschool,C3,8,12,16,7,6,N,N,N,Y,N,Y,Y,Y,Y,Y,N,N,Y,N,N,N,1
ASHANTI,WSM,M,Eth-4,01347504,GenWhy,Transfer (24+ Hours),Alternative Teaching Certificate,3289,Y,STUNT,N,T03,C12,11,17,18,1,1,N,N,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,Y,Y,3
Delta,RWA,Not Declared,Eth-3,01449670,Online Application,Readmit,Engineering - Systems Engineering,3155,N,Track & Field (Women's),Y,T01,C7,0,11,13,4,19,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,2
Almaty,BEN,Not Declared,Eth-8,01573545,Christian Connector Web Response,Readmit,Criminal Justice,4264,N,STUNT,N,T04,C5,3,5,14,16,19,N,Y,N,Y,N,Y,N,N,Y,Y,N,N,N,Y,N,Y,6
Southwest,UGA,M,Eth-3,01360973,Bison Day Registration,Transfer,Engineering - Electrical Engineering,4522,Y,Track & Field (Men's),N,P01,C10,13,2,1,19,7,Y,N,Y,N,N,N,N,N,Y,Y,N,Y,Y,Y,N,N,9
