state,country,gender,ethnicity,studentIDs,originSource,studentType,major,financialAidOfferedAmount,athlete,sport,raleyCollegeTagExists,recruitingTerritory,counselor,counselorIncomingTextCount,counselorOutgoingTextCount,phoneSuccessfulCount,phoneUnsuccessfulCount,phoneVoicemailCount,admittedStudentsDay,bisonDay,bisonDayAtTheWeekend,campusVisit,dallasBisonExclusive,footballVisit,golfVisit,oklahomaCityBisonExclusive,scholarsBisonDay,scholarsMixerAndBanquet,scholarshipInterview,scholarshipInterviewRegistration,softballVisit,trackVisit,tulsaBisonExclusive,volleyballVisit,eventsAttendedCount
Plateau,ZWE,M,Eth-3,01472594,Encoura,First-Time Freshman,Forensic Psychology,3948,Y,Softball,N,T02,C12,4,10,17,12,11,N,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,Y,19
Kiambu,SWZ,M,Eth-3,01535398,Falls Creek,Transfer (24+ Hours),"Biblical and Theological Studies, History and Theology Emphasis",4433,Y,Track & Field (Men's),N,T02,C14,7,18,2,16,5,N,Y,N,N,N,Y,N,N,N,N,N,Y,N,Y,Y,Y,5
ASHANTI REGION,PER,Not Declared,Eth-9,01364544,Super Summer,Transfer (24+ Hours),Master of Arts in Christian Studies: Biblical and Theological Studies (Online),3783,N,Soccer,Y,T06,C5,9,4,3,16,16,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,12
Sylhet Division,VEN,Not Declared,Eth-8,01438657,NRCCUA Declared Names,Test Optional,Musical Arts,4929,Y,Basketball (Men's),Y,T02,C2,7,8,20,20,14,N,Y,N,N,Y,Y,Y,N,N,Y,Y,N,Y,N,N,N,17
Centre,ZAF,Not Declared,Not Declared,01430646,Private Colleges & Universities,First-Time Freshman,"Biblical and Theological Studies, Biblical Language Emphasis",3890,Y,Softball,Y,P02,C2,2,14,11,16,10,Y,N,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,N,Y,Y,13
Volta,BHS,Not Declared,Eth-9,01375404,Text Message - Outgoing,Transfer (24+ Hours),"Biblical and Theological Studies, Biblical Language Emphasis",2039,N,STUNT,Y,T02,C2,20,13,14,2,7,N,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,Y,N,Y,N,6
MN,MMR,Not Declared,Eth-4,01520846,Paper Application,First-Time Freshman,Political Science,3442,N,Soccer,Y,T05,C3,4,13,11,15,11,N,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,5
ENUGU STATE,BGD,Not Declared,Eth-6,01300872,CLT Prospect,First-Time Freshman,Project Management,3890,Y,Volleyball,Y,T00,C9,3,14,20,2,15,N,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,20
Sudur Pashchimanchal,LKA,M,Not Declared,01470809,New Mexico Annual Convention,Test Optional,Engineering - Electrical Engineering,2069,N,Track & Field (Women's),Y,P02,C3,13,10,6,4,16,N,N,N,Y,N,N,N,N,Y,N,Y,Y,Y,Y,N,N,6
Purwanchal,CZE,Not Declared,Eth-2,01504836,Clark Higher Ed Paid Social,First-Time Freshman,Early Childhood Education,4766,Y,Marching Band,N,T04,C11,14,2,12,13,16,N,Y,N,N,N,N,Y,N,N,Y,N,Y,N,N,Y,N,20
Western Highlands,MEX,Not Declared,Eth-7,01453698,FAFSA,Transfer (24+ Hours),Computer Information Systems,2069,Y,Not Declared,Y,T07,C14,4,14,3,6,15,Y,N,Y,Y,N,N,N,Y,N,N,Y,N,N,N,Y,Y,13
ISLAMABAD CAPITAL TERRITORY,TGO,Not Declared,Eth-7,01581677,Online Application,Transfer (24+ Hours),Management,3169,N,STUNT,N,P01,C11,7,10,0,20,6,Y,N,N,Y,Y,N,N,N,N,Y,Y,Y,N,Y,N,Y,13
Gilgit-Baltistan,JAM,M,Not Declared,01484250,StriveScan - Scans,Readmit,Engineering - Mechanical Engineering,3755,Y,Basketball (Men's),N,T01,C5,11,14,8,19,16,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,Y,19
Northern,MMR,M,Eth-9,01432982,Website Inquiry,Test Optional,Fine Arts,3823,Y,Volleyball,Y,T07,C4,20,3,4,19,5,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,N,Y,Y,6
AB,MNG,Not Declared,Eth-6,01515160,Encoura Affinity Connection,First-Time Freshman,Engineering - Mechanical Engineering,3696,Y,Marching Band,N,T02,C14,4,14,17,13,4,N,Y,N,N,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,3
SD,SEN,Not Declared,Eth-6,01474465,Super Summer,Test Optional,Natural Science,3038,Y,Track & Field (Men's),Y,T05,C3,6,20,4,2,19,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,Y,Y,12
Grand Casablanca,SWZ,Not Declared,Not Declared,01305729,Empower Conference,Test Optional,English,3755,Y,Golf,Y,Homeschool,C12,18,13,0,10,10,Y,N,N,N,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,3
SD,DEU,M,Eth-7,01497350,Next Step Magazine,Transfer (24+ Hours),Theatre,3418,Y,Track & Field (Women's),N,Graduate,C12,11,16,9,16,0,N,N,N,Y,N,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,4
MI,ARE,M,Eth-3,01404014,Clark Higher Ed Prospect,Readmit,Alternative Teaching Certificate,3052,N,Not Declared,N,T07,C3,13,2,7,6,8,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,N,N,2
Oyo,HND,Not Declared,Eth-9,01494075,Encoura Affinity Connection,Second Degree,"Accounting, Interdisciplinary Emphasis",3930,N,Dance,Y,T01,C10,11,2,11,8,8,Y,Y,Y,N,N,Y,N,Y,N,N,Y,N,N,N,Y,Y,9
MS,IRN,M,Eth-4,01511101,Niche Prospects,Test Optional,Chemistry,2556,N,Not Declared,Y,Raley College,C8,18,0,9,8,1,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,Y,N,9
AB,TJK,M,Eth-3,01498716,Phone Call - Successful,Test Optional,"Exercise Science, Pre-Allied Health Emphasis",3935,N,Track & Field (Men's),Y,T02,C4,16,12,14,12,12,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,20
Qashqadaryo,NPL,Not Declared,Eth-4,01579898,Text Message - Outgoing,First-Time Freshman,"Sports and Recreation, Camp Administration Emphasis",4194,Y,Basketball (Men's),Y,Homeschool,C11,8,4,4,7,5,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,N,Y,N,7
Madhesh Pradesh,ROU,M,Eth-4,01329472,High School Visit,First-Time Freshman,MBA in Transformational Leadership,3547,Y,Basketball (Women's),Y,T00,C6,17,10,20,3,18,Y,N,Y,N,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,13
Barisal,ITA,Not Declared,Not Declared,01513539,New Mexico Annual Convention,Test Optional,Not Declared,4729,Y,Dance,Y,Graduate,C6,9,18,11,12,18,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,Y,N,18
Addis Ababa,NLD,Not Declared,Eth-4,01391624,Christian Connector,Readmit,"Mathematics Education, Secondary",4934,Y,Volleyball,Y,P01,C4,15,11,1,2,16,Y,Y,N,N,N,Y,N,N,N,Y,N,Y,Y,N,Y,Y,15
Manicaland,SLE,Not Declared,Not Declared,01572787,SAT Score,Test Optional,Creative Writing,2992,Y,STUNT,Y,T02,C10,16,9,18,11,10,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,17
Sindh,ESP,Not Declared,Not Declared,01365139,FAFSA,Transfer,"Global Marketplace Engagement, TESOL Emphasis",3530,N,Not Declared,Y,Homeschool,C6,12,18,14,19,6,N,N,Y,N,N,N,Y,Y,N,Y,Y,N,N,N,N,Y,15
Istanbul,NAM,M,Eth-3,01450013,Bison Day Registration,First-Time Freshman,Engineering - Electrical Engineering,4729,Y,Basketball (Men's),N,Homeschool,C4,20,20,18,3,5,Y,Y,N,N,N,N,Y,N,Y,N,Y,Y,N,Y,N,N,12
WV,BWA,Not Declared,Eth-5,01411795,Online Application,Test Optional,"Biology, Forensic Emphasis",2837,Y,Football,Y,T04,C4,18,11,1,13,1,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,N,N,N,1
SD,GBR,M,Eth-3,01319967,New Mexico Annual Convention,Transfer,"Exercise Science, Human Performance Emphasis",4907,Y,Soccer,N,P02,C12,4,13,15,18,17,N,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,17
GUATENG,CAN,Not Declared,Eth-3,01591455,RNL Sophomore Search,Readmit,Software Engineering,2946,N,Football,N,P01,C4,3,14,16,2,3,Y,Y,Y,N,N,Y,Y,N,Y,Y,N,Y,N,N,Y,N,16
AB,ZMB,M,Eth-7,01542796,StriveScan - Scans,Transfer,"Social Sciences Education, Secondary",4433,N,Dance,N,P02,C13,11,3,16,7,6,N,Y,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,3
WEST COAST DIVISION,RWA,M,Eth-8,01525061,StriveScan - Connections,First-Time Freshman,Biblical and Theological Studies,3413,N,Football,Y,T00,C14,5,5,9,16,16,N,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,14
Dushanbe,BRA,Not Declared,Eth-5,01383461,CollegExpress,Second Degree,History,3036,Y,Softball,N,T04,C4,16,10,20,8,12,N,Y,N,Y,N,N,N,N,Y,Y,Y,Y,N,Y,Y,N,17
Upper West,GBR,M,Eth-4,01540906,High School Visit,Transfer (24+ Hours),Criminal Justice,4776,N,STUNT,N,T03,C7,8,16,20,11,15,N,Y,N,Y,N,N,N,N,Y,N,Y,N,N,Y,N,Y,10
West,MNG,M,Eth-4,01542378,RNL Junior Search,Readmit,Communication Studies,2720,N,Basketball (Men's),N,T05,C11,18,0,9,11,18,N,N,N,Y,Y,N,N,N,Y,N,Y,N,Y,Y,Y,N,12
Ogun,ARG,Not Declared,Eth-1,01534164,Christian Connector,First-Time Freshman,"Music Education, Instrumental Certificate P-12",2190,N,Track & Field (Men's),Y,Raley College,C4,20,18,3,19,5,N,Y,N,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,N,N,17
Ashanti,Not Declared,M,Eth-2,01504370,Capture Higher Ed,First-Time Freshman,"Special Education, Elementary Track",3692,N,Golf,Y,P01,C13,17,3,15,2,14,N,Y,N,Y,N,N,N,N,Y,Y,Y,Y,N,Y,N,N,19
Maritime,FRA,M,Eth-1,01519330,Not Declared,Test Optional,"Global Marketplace Engagement, Graphic Design Emphasis",2816,Y,Softball,N,T00,C2,10,3,18,2,6,Y,N,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,1
Parana,ARE,Not Declared,Eth-4,01386212,CLT Application,Transfer,Undecided,3948,N,Football,Y,T05,C9,11,15,0,11,12,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,Y,19
DAKAR,SAU,Not Declared,Eth-9,01435659,Clark Higher Ed Search,First-Time Freshman,Family Science,3038,Y,Golf,N,Raley College,C3,12,5,16,7,1,N,Y,N,N,Y,N,Y,Y,N,N,Y,N,Y,N,N,Y,19
Ogun,PNG,M,Eth-2,01450431,Graduate Website Inquiry,Readmit,Nursing,2734,N,Softball,Y,T06,C5,4,5,13,14,20,N,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,15
Hhohho,BEN,M,Eth-4,01552288,Transcript Received,Readmit,English,2260,N,Not Declared,N,T00,C3,7,2,12,0,9,Y,N,Y,Y,Y,N,Y,N,Y,N,N,Y,N,Y,Y,N,4
Minas Gerais,MDG,M,Eth-9,01347607,CLT Prospect,Transfer (24+ Hours),"Journalism and Mass Communication, Journalism Emphasis",2069,N,Soccer,N,Raley College,C13,11,18,2,4,6,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,Y,N,Y,Y,13
OK,PNG,M,Not Declared,01356200,Bison Day Attended,Transfer (24+ Hours),"Special Education, Elementary Track",3619,Y,Volleyball,N,T07,C12,8,1,3,3,20,Y,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,8
Central River Division,ESP,M,Eth-8,01404692,Falls Creek,First-Time Freshman,"Special Education, Elementary Track",4255,N,Marching Band,N,P01,C10,4,20,10,12,15,N,N,N,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,Y,14
Francisco Morazan,JAM,M,Eth-1,01397065,Clark Higher Ed Quick App,Readmit,"Global Marketplace Engagement, Math Education Emphasis",3101,Y,Dance,N,T07,C12,12,4,9,11,5,N,Y,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,2
DAKAR,TGO,Not Declared,Eth-4,01598151,STEM Camp,Transfer,Communication Studies,4958,N,Dance,N,Homeschool,C5,14,5,18,15,15,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,Y,Y,17
Grand Casablanca,PSE,M,Not Declared,01341956,Capture Higher Ed,Transfer (24+ Hours),Engineering - Mechanical Engineering,3930,N,Basketball (Women's),Y,Raley College,C2,14,16,18,20,14,Y,Y,N,N,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,13
Central,MWI,M,Not Declared,01512228,Southern Baptist Convention,Second Degree,Musical Arts,4444,Y,Soccer,N,T03,C4,0,18,12,12,17,Y,Y,N,Y,N,Y,N,N,Y,Y,Y,N,Y,N,N,N,2
Eastern Cape,NZL,Not Declared,Eth-5,01397000,Transcript Received,Readmit,"Mathematics Education, Secondary",3308,Y,Volleyball,Y,Graduate,C5,13,9,15,2,8,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,1
Quang Nam,ARE,M,Eth-9,01418825,Christian Connector Web Response,Transfer (24+ Hours),"Social Sciences Education, Secondary",3413,Y,Marching Band,N,P02,C13,5,11,7,3,11,N,Y,Y,N,N,N,N,Y,N,N,Y,N,Y,Y,Y,N,6
Mexico City,GBR,Not Declared,Eth-5,01546467,Clark Higher Ed Leads,Transfer (24+ Hours),"Global Marketplace Engagement, Math Education Emphasis",4194,N,Track & Field (Men's),N,T00,C8,13,5,17,15,1,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,5
Nandi,JAM,M,Not Declared,01572992,Christian Connector Web Response,Second Degree,"Philosophy, Apologetics Emphasis",2779,N,Track & Field (Women's),N,Homeschool,C10,8,13,0,14,19,N,Y,N,N,Y,N,Y,N,Y,N,Y,Y,Y,N,Y,Y,6
Not Declared,NPL,Not Declared,Eth-9,01563691,Oklahoma Promise,Transfer (24+ Hours),Engineering - Mechanical Engineering,3776,N,Not Declared,Y,Homeschool,C4,7,9,3,18,15,N,Y,N,N,N,N,Y,N,Y,N,Y,Y,N,N,Y,N,11
Tashkent Province,OMN,M,Eth-8,01515881,STEM Camp,Second Degree,"Sports and Recreation, Athletic Coaching Emphasis",3036,N,Football,N,P01,C9,8,6,0,2,2,N,N,N,N,Y,N,Y,N,Y,N,Y,Y,N,N,Y,Y,15
